id	source	url	observed_signal	surface_plugin_implication
surface-blockpreview-output	Surface BlockPreview output	../tools/block-preview/support/BlockPreviewSupport.swift	`BlockPreview.defaultOutputDirectory` is `.build/block-previews`, `render` writes `<block>-<fixture>.png`, and `renderSurface` writes `surface-active.png`.	`previewgallery` should read these existing PNGs without invoking the renderer.
surface-blockpreview-cli	Surface block-preview CLI	../tools/block-preview/source/main.swift	The CLI lists cases, renders all/block/surface previews, and prints path, dimensions, byte count, colors, and nonbackground sample metrics.	`previewgallery` should copy these commands and display prior metrics, not run them.
surface-blockpreview-metrics	Surface BlockPreview metrics reader	../tools/block-preview/support/BlockPreviewSupport.swift	`BlockPreviewMetricsReader` reads PNG dimensions, byte count, sampled color count, and nonbackground sample count.	`previewgallery` can show metrics from existing output/index files while leaving nonblank enforcement to preview tests.
apple-nsimage-contents	Apple NSImage contentsOf URL	https://developer.apple.com/documentation/appkit/nsimage/init%28contentsof%3A%29	Apple documents initializing an image object from a local URL.	`previewgallery` can load local PNG previews directly through AppKit.
apple-imageio-thumbnail	Apple ImageIO thumbnail creation	https://developer.apple.com/documentation/imageio/cgimagesourcecreatethumbnailatindex%28_%3A_%3A_%3A%29	Apple documents creating a thumbnail image from an image source.	Use ImageIO/NSImage thumbnailing for local preview thumbnails rather than shell image tools.
apple-quicklook-thumbnailing	Apple QuickLook Thumbnailing	https://developer.apple.com/documentation/quicklookthumbnailing	Apple's QuickLook Thumbnailing framework generates thumbnails for common file types with `QLThumbnailGenerator`.	This validates local thumbnail display, but v1 can stay PNG-only.
storybook-visual-tests	Storybook visual tests	https://storybook.js.org/docs/writing-tests/visual-testing	Storybook documents visual tests as snapshots that compare rendered UI against known-good baselines.	Preview PNGs are useful UI review artifacts, but baseline comparison should stay outside `previewgallery` v1.
playwright-visual-comparisons	Playwright visual comparisons	https://playwright.dev/docs/test-snapshots	Playwright can produce screenshots and compare them with reference screenshots on subsequent runs.	Surface should avoid adding snapshot update/diff ownership to the gallery; block-preview/tests own rendering and future diff policy.
github-upload-artifact	GitHub Actions upload-artifact	https://github.com/actions/upload-artifact	GitHub's artifact action uploads generated files from workflow runs for later download.	Preview images may be artifacts, but upload/export belongs to CI or `diagnosticbundle`, not the gallery.
surface-diagnosticbundle-spec	Surface Diagnostic Bundle spec	diagnosticbundle-spec.md	`diagnosticbundle` owns explicit support export, redaction reports, and selected artifact copying.	`crashreports` should point at explicit crash files and hand off export/redaction to `diagnosticbundle`.
surface-notificationdigest-spec	Surface Notification Digest spec	notificationdigest-spec.md	`notificationdigest` owns Surface/plugin event summaries and excludes global unified-log mining.	`crashreports` should not mine logs or become an event digest.
surface-fileinbox-spec	Surface File Inbox spec	fileinbox-spec.md	`fileinbox` owns broad recent-file triage from explicit watched locations.	`crashreports` should not broadly scan DiagnosticReports folders or duplicate recent-file triage.
apple-analyzing-crash-report	Apple Xcode: Analyzing a crash report	https://developer.apple.com/documentation/xcode/analyzing-a-crash-report	Apple describes a crash report as a detailed log of an app's state when it crashed and as a resource for identifying problems.	Surface can show crash-report pointers and top fields, but root-cause diagnosis stays with Xcode/developer workflows.
apple-crash-report-fields	Apple Xcode: Examining the fields in a crash report	https://developer.apple.com/documentation/xcode/examining-the-fields-in-a-crash-report	Apple documents crash report sections such as process details, thread state, exception data, termination data, and binary images.	`crashreports` should parse only small stable metadata fields and avoid becoming a full crash-log reader.
apple-crash-json-format	Apple Xcode: Interpreting the JSON format of a crash report	https://developer.apple.com/documentation/xcode/interpreting-the-json-format-of-a-crash-report	Apple documents structured crash-report objects for OS version, bundle, exception, termination, threads, frames, and binary images.	`.ips` parsing can be structured and bounded, with frames/images collapsed or omitted by default.
apple-console-reports	Apple Support: View reports in Console on Mac	https://support.apple.com/guide/console/view-reports-cnsl664be99a/mac	Apple Console lists Crash Reports as system and user reports, with crash report names using the `.ips` extension.	Console should remain the report browser; Surface should consume explicit file pointers.
apple-acquiring-crash-reports	Apple Xcode: Acquiring crash reports and diagnostic logs	https://developer.apple.com/documentation/xcode/acquiring-crash-reports-and-diagnostic-logs	Apple documents workflows for obtaining crash reports and diagnostic logs as explicit debugging artifacts.	`crashreports` can accept explicitly obtained reports, but should not silently collect logs.
apple-metrickit-crash	MXCrashDiagnostic	https://developer.apple.com/documentation/metrickit/mxcrashdiagnostic	Apple MetricKit exposes an object representing an app crash diagnostic for apps that adopt the framework.	MetricKit is a separate app-integrated collection path and should stay out of `crashreports` v1.
surface-crashreports-symbolication-boundary	Surface Crash Reports spec	crashreports-spec.md	`crashreports` explicitly excludes running `atos`, `symbolicatecrash`, `xcrun`, `log`, or Xcode from the block runtime.	`crashsymbolication` should be a handoff/status extension inside `crashreports`, not a runner.
surface-scriptoutput-execution-owner	Surface Script Output spec	scriptoutput-spec.md	`scriptoutput` owns constrained command execution with direct executable paths, argument arrays, timeouts, and output caps.	If symbolication execution is needed later, route it to `scriptoutput` or an external producer instead of `crashreports`.
apple-symbolicate-crash-report	Apple Xcode: Adding identifiable symbol names to a crash report	https://developer.apple.com/documentation/xcode/adding-identifiable-symbol-names-to-a-crash-report	Apple says Xcode is the preferred way to symbolicate crash reports because it uses available dSYM files, while command-line symbolication is for specialized debugging situations.	Surface should copy Xcode and `atos` handoff instructions, not perform symbolication inside a block.
apple-debug-info-dsym	Apple Xcode: Building your app to include debugging information	https://developer.apple.com/documentation/xcode/building-your-app-to-include-debugging-information	Apple says distribution builds should use the Debug Information Format setting `DWARF with dSYM File` to generate necessary symbol files.	Surface can show `needs dSYM` guidance and explicit dSYM path fields, but should not generate or search for dSYMs.
apple-diagnosing-crash-reports	Apple Xcode: Diagnosing issues using crash reports and device logs	https://developer.apple.com/documentation/xcode/diagnosing-issues-using-crash-reports-and-device-logs	Apple describes crash reports as containing complete thread backtraces that show code running at the time of a crash.	`crashreports` can summarize report state, while deeper backtrace interpretation and symbolication stay with Xcode/developer tools.
surface-crashsymbolication-dsym-boundary	Surface Crash Symbolication spec	crashsymbolication-spec.md	`crashsymbolication` keeps symbolication as copied Xcode/CLI handoff text and excludes running tools, searching directories, downloading dSYMs, uploading symbols, or parsing DWARF/Mach-O.	`dsymcatalog` should be an explicit manifest read by `crashreports`, not a scanner or symbol store.
apple-crash-report-dsym-uuid	Apple Xcode: Examining the fields in a crash report	https://developer.apple.com/documentation/xcode/examining-the-fields-in-a-crash-report	Apple says the binary image UUID in a crash report is used to locate the corresponding dSYM file during symbolication.	Catalog matching should treat UUID matches as strong evidence and text-only version/build matches as possible matches.
apple-symbolicate-dwarfdump	Apple Xcode: Adding identifiable symbol names to a crash report	https://developer.apple.com/documentation/xcode/adding-identifiable-symbol-names-to-a-crash-report	Apple says developers can verify whether a binary or dSYM matches a crash report by comparing build UUIDs with `dwarfdump`, and that Xcode is the preferred symbolication path.	Surface should show UUID clues and copy handoff steps, but not run `dwarfdump` or perform symbolication.
apple-appstoreconnect-dsyms	App Store Connect: View builds and metadata	https://developer.apple.com/help/app-store-connect/manage-builds/view-builds-and-metadata/	App Store Connect documents viewing build metadata and downloading dSYM files for eligible builds, with notes about bitcode and Xcode 14 changes.	Any hosted dSYM retrieval belongs to App Store Connect/Xcode workflows or external producers, not a Surface block.
apple-xcode-download-debug-symbols	Xcode Help: Download debug symbols	https://help.apple.com/xcode/mac/current/en.lproj/devef5928039.html	Xcode Help documents downloading debug symbols in Archives organizer and inserting dSYM files into the selected archive.	Catalog rows may point at explicit archive/dSYM paths, but Xcode remains the owner of archive symbol management.
surface-gitignore-build	Surface .gitignore	../.gitignore	`.gitignore` excludes `.build/`, `dist/`, generated Xcode projects, user data, and `.DS_Store`.	Generated visual current/diff/report artifacts should remain under ignored `.build` paths.
surface-visualbaselines-retention-owner	Surface Visual Baselines spec	visualbaselines-spec.md	`visualbaselines` places current images, diff images, and `visualbaselines.json` under `.build`, while checked-in baselines live under `tests/BlockPreviewTests/Baselines`.	Retention policy should distinguish disposable generated artifacts from code-reviewed baseline fixtures.
github-actions-artifact-retention	GitHub Actions upload-artifact retention	https://github.com/actions/upload-artifact	GitHub's upload-artifact action documents a 90-day default and a `retention-days` input with a 1-to-90 day range.	CI should upload visual failure artifacts only when needed and use a short retention period such as 7 days.
github-actions-workflow-artifacts	GitHub Actions workflow artifacts	https://docs.github.com/en/actions/tutorials/store-and-share-data	GitHub Actions docs show using `retention-days` to set a custom retention period for individual workflow artifacts.	Visual baseline current/diff/report uploads should be CI-owned and per-artifact, not plugin-owned.
github-large-files	GitHub large file guidance	https://docs.github.com/en/repositories/working-with-files/managing-large-files/about-large-files-on-github	GitHub recommends repositories remain small, ideally below 1 GB, and strongly recommends staying below 5 GB.	Keep checked-in visual baselines small and measured before adding binary storage machinery.
github-lfs	GitHub Large File Storage	https://docs.github.com/repositories/working-with-files/managing-large-files/about-git-large-file-storage	GitHub documents Git LFS for large files and plan-specific maximum file sizes.	Defer LFS until baseline files approach size/churn thresholds that justify the extra setup.
git-lfs-overview	Git LFS overview	https://git-lfs.com/	Git LFS replaces large files such as graphics with text pointers in Git while storing contents on a remote server.	LFS is a storage policy for large checked-in baselines, not a runtime artifact-retention feature.
surface-package-macos-target	Surface Package.swift	../Package.swift	Surface declares a macOS 14 platform target.	Baseline platform metadata should record the supported macOS floor and the actual runner OS used for visual checks.
surface-blockpreview-screen-scale	Surface BlockPreview renderer	../tools/block-preview/support/BlockPreviewSupport.swift	`renderSurface` uses `NSScreen.main?.visibleFrame`, and `BlockImageRenderer` renders through `NSHostingView.bitmapImageRepForCachingDisplay`.	Visual baselines should record platform/scale metadata and prefer renderer determinism before adding platform lanes.
apple-high-resolution-guidelines	Apple High Resolution Guidelines for OS X	https://developer.apple.com/library/archive/documentation/GraphicsAnimation/Conceptual/HighResolutionOSX/Introduction/Introduction.html	Apple's high-resolution guidance distinguishes point-based layout from pixel backing stores and scale factors.	Baseline checks should track point size versus rendered pixel dimensions and avoid hiding scale mismatches as UI changes.
apple-nsscreen-backingscalefactor	NSScreen backingScaleFactor	https://developer.apple.com/documentation/appkit/nsscreen/backingscalefactor	Apple documents `backingScaleFactor` as the scale factor converting screen coordinates to backing store coordinates.	Record display/renderer scale in visual baseline reports before deciding whether separate scale lanes are needed.
github-actions-runners	GitHub Actions hosted runners	https://docs.github.com/en/actions/reference/runners/github-hosted-runners	GitHub documents hosted runner labels and macOS runner environments.	Visual baseline CI should pin a concrete macOS runner label instead of using `macos-latest`.
github-runner-images	GitHub Actions runner images	https://github.com/actions/runner-images	GitHub's runner-images project documents available VM images and software-image updates.	Runner image changes are a source of rendering drift, so platform metadata should be captured with every baseline check.
surface-previewgallery-baseline-boundary	Surface Preview Gallery spec	previewgallery-spec.md	`previewgallery` explicitly excludes visual baselines, pixel diffs, approval workflows, and snapshot updates from v1.	Baseline comparison should live in block-preview/tests; the gallery may only read comparison artifacts later.
surface-blockpreview-baseline-owner	Surface BlockPreview owner	../tools/block-preview/support/BlockPreviewSupport.swift	`BlockPreview.renderAll` and `renderSurface` already render deterministic PNGs through real block runtimes and fixture contexts.	Visual baselines should reuse this renderer instead of adding a second preview path.
surface-blockpreview-baseline-tests	Surface BlockPreview tests	../tests/BlockPreviewTests/BlockPreviewTests.swift	`BlockPreviewTests` already render every fixture, check nonblank metrics, render the whole surface, and enforce current plugin fixture coverage.	Baseline checks should extend this enforcement owner rather than adding an overlay approval workflow.
pointfree-swift-snapshot-testing	Swift SnapshotTesting	https://github.com/pointfreeco/swift-snapshot-testing	Point-Free's SnapshotTesting stores snapshots alongside tests and captures image differences as XCTest attachments.	Swift visual baselines belong in the test harness, with explicit record modes and test artifacts.
apple-xctest-attachments	XCTest attachments	https://developer.apple.com/documentation/xctest/adding-attachments-to-tests-activities-and-issues	Apple documents attaching images, screenshots, files, folders, and strings to tests for later analysis.	Visual diff artifacts should be attached or written by tests/CI, not approved from a Surface block.
apple-thermal-state	ProcessInfo ThermalState	https://developer.apple.com/documentation/foundation/processinfo/thermalstate-swift.enum	Apple documents ProcessInfo thermal states and recommends reducing resource use when thermal state rises.	`systemhealth` can classify nominal/fair/serious/critical as user-actionable thermal status without shell polling.
apple-thermal-notification	ProcessInfo thermalStateDidChangeNotification	https://developer.apple.com/documentation/foundation/processinfo/thermalstatedidchangenotification	Apple documents a notification for thermal-state changes from ProcessInfo.	Use notification-triggered refresh instead of aggressive polling.
apple-low-power	ProcessInfo isLowPowerModeEnabled	https://developer.apple.com/documentation/foundation/processinfo/islowpowermodeenabled	Apple says apps can query whether Low Power Mode is active.	`systemhealth` can show Low Power Mode as a watch condition and suggest delaying heavy work.
apple-power-notification	NSProcessInfoPowerStateDidChange notification	https://developer.apple.com/documentation/foundation/nsnotification/name-swift.struct/nsprocessinfopowerstatedidchange	Apple documents a notification posted when device power state changes; observers should query Low Power Mode after receiving it.	Use power-state notification as a refresh trigger.
apple-disk-capacity	URLResourceValues volumeAvailableCapacityForImportantUsage	https://developer.apple.com/documentation/foundation/urlresourcevalues/volumeavailablecapacityforimportantusage	Apple exposes available capacity for important resources on the volume backing a file URL.	`systemhealth` can report low disk space via URL resource values, avoiding `df` shell parsing.
apple-nwpath-monitor	NWPathMonitor	https://developer.apple.com/documentation/network/nwpathmonitor	Apple documents NWPathMonitor as an observer for network changes.	Use Network.framework for local path status instead of pinging external hosts.
apple-nwpath-constrained	NWPath isConstrained	https://developer.apple.com/documentation/network/nwpath/isconstrained	Apple documents whether a path is constrained, such as Low Data Mode.	Surface can classify constrained network as Watch without network traffic.
apple-iopowersources	IOPowerSources.h	https://developer.apple.com/documentation/iokit/iopowersources_h	Apple says IOPowerSources provides uniform access to power-source state attached to the system.	Use IOKit for battery/power-source state when available, with no issue on desktop/no-battery machines.
raycast-quicklinks-manual	Raycast Manual: Quicklinks	https://manual.raycast.com/quicklinks	Raycast Quicklinks turn URLs, files, searches, and deeplinks into fast commands with tags and management actions.	`linkinbox` can focus on captured URL triage and quick open/copy actions instead of becoming a browser or bookmark manager.
raycast-quicklinks-autofill	Raycast Quicklinks core feature	https://www.raycast.com/core-features/quicklinks	Raycast Quicklink Auto Fill can use the active browser or clipboard, but active-browser URL/title access requires Automation permissions.	Surface `linkinbox` v1 should stay clipboard/file-backed; active browser capture belongs behind permissions/context work later.
raycast-browser-bookmarks	Raycast Browser Bookmarks	https://www.raycast.com/raycast/browser-bookmarks	Raycast Browser Bookmarks retrieves bookmarks from selected browsers/profiles and refreshes Chromium bookmarks when profile bookmark files change.	Browser bookmark search is useful, but direct browser/profile access should be an explicit later adapter, not `bookmarkcards` v1.
raycast-markmarks	Raycast MarkMarks	https://www.raycast.com/rmartins/markmarks	MarkMarks uses a Markdown file as the persistence layer for bookmarks with hierarchical groups.	This validates a file-backed bookmark shelf that Surface can preview deterministically.
chrome-bookmarks-api	Chrome Extensions Bookmarks API	https://developer.chrome.com/docs/extensions/reference/api/bookmarks	Chrome's bookmarks API lets extensions create, organize, and manipulate browser bookmarks.	Use browser bookmark APIs only through an explicit browser extension/cache path; the Swift block should not parse Chrome profile files.
mdn-webextension-bookmarks	MDN WebExtensions Bookmarks API	https://developer.mozilla.org/en-US/docs/Mozilla/Add-ons/WebExtensions/API/bookmarks	MDN documents the WebExtensions bookmarks API and notes it requires the `bookmarks` permission.	Browser bookmark access carries extension permission scope, so `bookmarkcards` v1 should stay local-file backed.
apple-safari-webextensions	Safari web extensions	https://developer.apple.com/documentation/safariservices/safari-web-extensions	Apple says Safari web extensions add functionality using JavaScript APIs and common extension formats.	A Safari bookmark adapter should be a deliberate extension/cache integration, not silent native profile access.
mozilla-bookmark-export	Firefox bookmark HTML export	https://support.mozilla.org/en-US/kb/export-firefox-bookmarks-to-backup-or-transfer	Mozilla documents exporting Firefox bookmarks to an HTML file for backup or transfer.	Exported bookmark files are a plausible explicit import source, but not a live dependency for previews or startup.
apple-internet-location	UTTypeInternetLocation	https://developer.apple.com/documentation/uniformtypeidentifiers/uttypeinternetlocation	Apple's internet-location type is identified as `com.apple.internet-location` and conforms to stored URL data.	A user-selected `.webloc` folder can be a future file-backed import source without browser profile scraping.
apple-pasteboard-url	NSPasteboard PasteboardType.url	https://developer.apple.com/documentation/appkit/nspasteboard/pasteboardtype/url	Apple documents URL data on the pasteboard and points to URL read/write pasteboard support.	Use pasteboard URL type before falling back to string scanning.
apple-urlcomponents	URLComponents	https://developer.apple.com/documentation/foundation/urlcomponents	Apple documents URLComponents as a structure for parsing URLs into and constructing URLs from components.	Use structured URL parsing for normalization and dedupe, not ad hoc string-only handling.
apple-nsworkspace-open	NSWorkspace open(_:)	https://developer.apple.com/documentation/appkit/nsworkspace/open%28_%3A%29	Apple documents opening a location at a URL through NSWorkspace.	Use for the row open action with the user's default browser/app.
raycast-quicklinks-launch	Raycast Quicklinks core feature	https://www.raycast.com/core-features/quicklinks	Raycast Quicklinks open frequently used paths, files, URLs, project folders, searches, and specific apps; Quick Search and browser autofill require Accessibility/Automation.	`appquicklaunch` should borrow curated launch cards but avoid root search, selected-text, and browser-autofill behavior in v1.
hammerspoon-application-launch	Hammerspoon hs.application	https://www.hammerspoon.org/docs/hs.application.html	Hammerspoon exposes launchOrFocus, launchOrFocusByBundleID, pathForBundleID, runningApplications, and app activation helpers.	Launcher workflows are useful, but Surface should use Swift/AppKit directly and avoid absorbing Hammerspoon or Spotlight-style search behavior.
apple-nsworkspace-openapplication	NSWorkspace openApplication(at:configuration:completionHandler:)	https://developer.apple.com/documentation/appkit/nsworkspace/openapplication%28at%3Aconfiguration%3Acompletionhandler%3A%29	Apple documents launching an application at a URL with an open configuration and completion handler.	Use for explicit app-row launch/focus actions, behind an injected adapter for tests.
apple-nsworkspace-urlforapplication	NSWorkspace urlForApplication(withBundleIdentifier:)	https://developer.apple.com/documentation/appkit/nsworkspace/urlforapplication%28withbundleidentifier%3A%29	Apple documents resolving an app URL from a bundle identifier.	Resolve curated app rows by bundle identifier before path fallback.
apple-nsrunning-runningapplications	NSRunningApplication runningApplications(withBundleIdentifier:)	https://developer.apple.com/documentation/appkit/nsrunningapplication/runningapplications%28withbundleidentifier%3A%29	Apple documents fetching running app instances for a bundle identifier.	Focus already-running apps without enumerating or indexing all installed apps.
apple-nsrunning-activate	NSRunningApplication activate(options:)	https://developer.apple.com/documentation/appkit/nsrunningapplication/activate%28options%3A%29	Apple documents activating a running application with activation options.	Use only for explicit focus actions from curated app rows.
apple-nsworkspace-open-with-app	NSWorkspace open(_:withApplicationAt:configuration:completionHandler:)	https://developer.apple.com/documentation/appkit/nsworkspace/open%28_%3Awithapplicationat%3Aconfiguration%3Acompletionhandler%3A%29	Apple documents opening URLs with a specific application URL and configuration.	Support file/folder rows with an explicit preferred app without shelling out to `open`.
apple-nsworkspace-openconfiguration	NSWorkspace.OpenConfiguration	https://developer.apple.com/documentation/appkit/nsworkspace/openconfiguration	Apple documents the configuration object used for workspace open operations.	Keep launch/open options explicit and testable instead of command-line flags.
apple-nsworkspace-reveal	NSWorkspace activateFileViewerSelecting(_:)	https://developer.apple.com/documentation/appkit/nsworkspace/activatefileviewerselecting%28_%3A%29	Apple documents revealing file URLs in the system file viewer.	Use for reveal actions on app/file/folder rows, not as a file manager replacement.
raycast-quicklinks-workspaces	Raycast Manual: Quicklinks	https://manual.raycast.com/quicklinks	Raycast Quicklinks can save a website, search URL, file path, folder, or deeplink, including project folders in an editor.	`workspacepins` should reuse curated anchors but avoid Root Search, arguments, and multi-target automation.
vscode-workspaces	Visual Studio Code: What is a workspace?	https://code.visualstudio.com/docs/editing/workspaces/workspaces	VS Code workspaces use a `.code-workspace` JSON file to group one or more folders and workspace configuration.	Workspace pins can model explicit project roots and labels without inventing a project registry.
vscode-multiroot-workspaces	Visual Studio Code: Multi-root Workspaces	https://code.visualstudio.com/docs/editing/workspaces/multi-root-workspaces	VS Code multi-root workspaces group multiple folders and keep folder-scoped launch/debug context visible.	Multiple roots are useful as explicit metadata, but Surface should not run tasks/debug configs.
apple-spaces-user-guide	Apple Support: Work in multiple spaces on Mac	https://support.apple.com/guide/mac-help/work-in-multiple-spaces-mh14112/mac	Apple documents Spaces as user-managed desktops where windows can be moved through Mission Control or edge dragging.	`workspacepins` should not switch Spaces or move windows; leave desktop arrangement user-managed or to `windowlayouts`.
hammerspoon-spaces	Hammerspoon hs.spaces	https://www.hammerspoon.org/docs/hs.spaces.html	Hammerspoon's Spaces module is experimental and relies on private APIs plus Accessibility workarounds.	Avoid Spaces control in Surface v1; private/AX-heavy session restore is outside workspace pins.
hammerspoon-expose	Hammerspoon hs.expose	https://www.hammerspoon.org/docs/hs.expose.html	Hammerspoon hs.expose creates hotkey-driven window thumbnails and switching actions.	Window switching is a separate automation/UI domain; workspace pins should show anchors, not own window navigation.
apple-linkmetadata-provider	LPMetadataProvider	https://developer.apple.com/documentation/linkpresentation/lpmetadataprovider	Apple says LPMetadataProvider fetches metadata for a URL, including title, icon, image, or video links.	Treat title/icon fetching as explicit cached network metadata later; previews and passive refresh should not fetch.
raycast-calendar	Raycast Calendar core feature	https://www.raycast.com/core-features/calendar	Raycast Calendar shows upcoming meetings, a schedule overview, join actions, attendee/email actions, and copy shortcuts, backed by the native macOS calendar setup.	`calendarprep` should focus on next-meeting prep and explicit copy/open actions, not a full calendar client.
apple-calendar-wwdc23	Apple WWDC23 Discover Calendar and EventKit	https://developer.apple.com/videos/play/wwdc2023/10052/	Apple describes EventKit as the direct calendar-data framework, explains no/write-only/full access levels, and says full access is required to fetch existing events.	`calendarprep` needs full Calendar access because it reads existing events; write-only access is not enough.
apple-calendar-fullaccess-plist	NSCalendarsFullAccessUsageDescription	https://developer.apple.com/documentation/bundleresources/information-property-list/nscalendarsfullaccessusagedescription	Apple documents the modern purpose string key for requesting full access to calendar data.	`script/build_and_run.sh` must add this key before live Calendar fetching ships.
apple-eventkit-predicate	EKEventStore predicateForEvents(withStart:end:calendars:)	https://developer.apple.com/documentation/eventkit/ekeventstore/predicateforevents%28withstart%3Aend%3Acalendars%3A%29	Apple provides an EventKit predicate for events within a date range and optional calendars.	`calendarprep` should query a short future range rather than broad calendar history.
apple-eventkit-events-matching	EKEventStore events(matching:)	https://developer.apple.com/documentation/eventkit/ekeventstore/events%28matching%3A%29	Apple's EventKit fetch API returns events matching a predicate.	`calendarprep` should sort fetched events before selecting the next meeting so previews and live UI are deterministic.
apple-ekevent	EKEvent	https://developer.apple.com/documentation/eventkit/ekevent	Apple's event object represents a calendar event with fields used for display and prep context, including title, dates, location, notes, URL, attendees, and calendar metadata.	`calendarprep` can map EventKit data to a small Codable display snapshot instead of storing raw EventKit objects.
raycast-snippets-manual	Raycast Manual: Snippets	https://manual.raycast.com/snippets	Raycast Snippets store reusable text, support keywords, tags, search/manage actions, copy/paste, imports, and dynamic placeholders.	`snippetprompt` should support a local tagged library and copy actions, but avoid global auto-expansion and typed keyword monitoring in v1.
raycast-dynamic-placeholders	Raycast Manual: Dynamic Placeholders	https://manual.raycast.com/dynamic-placeholders	Raycast placeholders include clipboard, snippet references, cursor, date/time, UUID, selected text, arguments, calculator, browser tab, modifiers, offsets, and clipboard offsets.	Surface should implement only a safe placeholder subset: date/time, clipboard on explicit action, arguments, and explicit context snapshots.
raycast-ai-commands	Raycast Manual: AI Commands	https://manual.raycast.com/ai/ai-commands	Raycast AI Commands turn prompts into one-press commands, can use selected text/placeholders, and Quick Fix needs Accessibility to read and replace active-app text.	`snippetprompt` should copy prompts/templates only; AI execution and in-place active-app replacement belong outside v1 and behind explicit permissions.
raycast-clipboard-history	Raycast Manual: Clipboard History	https://manual.raycast.com/clipboard-history	Raycast Clipboard History can search past clipboard items, copy/paste entries, save entries as snippets, pin/delete entries, and disable recording for sensitive apps.	Surface Copy History owns passive clipboard capture; `snippetprompt` may later accept a save-as-snippet handoff but should not duplicate history.
raycast-clipboard-history-settings	Raycast Manual: Clipboard History	https://manual.raycast.com/clipboard-history	Raycast Clipboard History supports retention periods, disabled applications, paste-as-plain-text, OCR, pin/delete, save-as-snippet, and Ask Clipboard actions.	Surface should borrow retention/disabled-app hygiene only; snippets, OCR, AI, and active-app paste belong to existing/later owners.
raycast-clipboard-history-control	Raycast Manual: Clipboard History Control	https://manual.raycast.com/enterprise/clipboard-history-control	Raycast Enterprise can enforce clipboard retention and disabled application bundle IDs across an organization.	Source/bundle-based exclusions are useful, but Surface v1 should use only explicit config and pasteboard source markers rather than broad app monitoring.
alfred-clipboard-advanced	Alfred Clipboard History	https://www.alfredapp.com/help/features/clipboard/	Alfred supports history duration, filtering, clipboard merging, max clip size, ignore apps, and concealed-data handling.	Copy History Rules should include max-size and concealed/transient ignore defaults, but avoid clipboard merging and active-app autopaste.
maccy-ignore-items	Maccy README	https://github.com/p0deje/Maccy	Maccy supports pausing all capture, ignoring only the next copy, ignoring confidential/temporary pasteboard marker types, and tuning polling interval.	Copy History can add pause/ignore-next and ignored pasteboard types without adding a second watcher.
keyboardmaestro-clipboard-filter	Keyboard Maestro Clipboard Filter Trigger	https://wiki.keyboardmaestro.com/trigger/Clipboard_Filter	Keyboard Maestro lets macros appear in the Clipboard History Switcher action menu and operate on the selected clipboard.	Clipboard filters are useful, but Surface should not turn rules into macro/script execution.
nspasteboard-special-types	NSPasteboard.org: transient and special clipboard data	https://nspasteboard.org/	NSPasteboard.org documents shared marker types for transient, concealed, autogenerated, source-app, proprietary password/temporary, and remote clipboard data.	Copy History should respect these markers before persisting text and never store blocked clipboard content.
apple-pasteboard-changecount	NSPasteboard changeCount	https://developer.apple.com/documentation/appkit/nspasteboard/changecount	Apple documents the pasteboard change counter used to detect pasteboard updates.	Keep the existing Copy History polling owner; do not add a second watcher for rules.
apple-pasteboard-types	NSPasteboard types	https://developer.apple.com/documentation/appkit/nspasteboard/types	Apple documents retrieving pasteboard data type identifiers.	Rules can inspect types/markers before deciding whether to persist text.
apple-pasteboard-string	NSPasteboard string(forType:)	https://developer.apple.com/documentation/appkit/nspasteboard/string%28fortype%3A%29	Apple documents reading a string representation from the pasteboard for a given type.	Keep text capture on the existing string path and evaluate rules before storage.
espanso-forms	Espanso Forms	https://espanso.org/docs/matches/forms/	Espanso forms provide input prompts that can gather variable values before rendering an expansion.	`snippetprompt` can support compact explicit argument fields without adding global text expansion.
espanso-variables	Espanso Variables	https://espanso.org/docs/matches/variables/	Espanso variables make matches dynamic and can include advanced variable types.	Surface should keep variables constrained and avoid shell/script variables in snippet placeholders.
apple-pasteboard-setstring	NSPasteboard setString(_:forType:)	https://developer.apple.com/documentation/appkit/nspasteboard/setstring%28_%3Afortype%3A%29	Apple documents writing a string value to the pasteboard for a pasteboard type.	Use the existing Copy History style of explicit pasteboard writes for copy actions rather than automatic insertion.
apple-pasteboard-clear	NSPasteboard clearContents()	https://developer.apple.com/documentation/appkit/nspasteboard/clearcontents%28%29	Apple documents clearing current pasteboard contents before adding new data.	`snippetprompt` copy actions can clear then set string content, preferably through a tiny testable adapter if factored with Copy History.
raycast-ray-boop	Raycast Ray Boop	https://www.raycast.com/nathan_schwermann/ray-boop	Ray Boop transforms selected text or clipboard text and can paste back into the document or copy to clipboard.	Surface should keep v1 to explicit input/output and copy-only; active-app paste needs permission-gated follow-up.
raycast-change-case	Raycast Change Case	https://www.raycast.com/erics118/change-case	Change Case transforms strings between case styles and documents casing behavior tradeoffs.	Case transforms are useful, but Surface should define deterministic behavior in tests rather than importing a broad transform library.
raycast-url-tools	Raycast URL Tools	https://www.raycast.com/huzef44/url-tools	URL Tools encodes or decodes clipboard URLs and overwrites clipboard contents.	URL encode/decode is a good built-in transform, but should run only from explicit input/copy actions.
raycast-paste-plain-text	Raycast Paste as Plain Text	https://www.raycast.com/koinzhang/paste-as-plain-text	Paste as Plain Text converts clipboard content to plain text, URL, or file path and pastes it.	Plain-text cleanup is useful; Surface should copy output, not paste into active apps in v1.
